voice,speaker,text_ja
ATR_b102_047,bg2,「はい行きました。夏生さんに言われた通りに。命令を実行してから帰ってきました」
ATR_b102_048,bg2,「はい、水菜萌。連れてきてくれてありがとうです。ぺこり」
ATR_b102_049,bg2,「学習しました。もう道に迷いません」
ATR_b102_050,bg2,「……」
ATR_b102_051,bg2,「ほら～、わたしの方が高性能でしょう？」
ATR_b102_052,bg2,「ここは危険です。移動しましょう夏生さん」
ATR_b102_053,bgm,「どうされました？」
ATR_b102_054,bgm,「あー、渡れないんですね。ふっふっふ、早速わたしの出番です！」
ATR_b102_055,bg,「あたっ。もぉ～、イタイじゃないですか～」
ATR_b102_056,bg,「ジッとしててくださいね。暴れると危ないですよ」
ATR_b102_057,bgm,「はー……びっくりしたー」
ATR_b102_058,bgm,「すみません、つい目測を誤ってしまって……」
ATR_b102_059,bg,「？　これも脱ぎましょうか。濡れちゃいましたから」
ATR_b102_060,bg,「ですがそうなると、ロボット倫理規定的に少々問題が……」
ATR_b102_061,bg,「やめた方がいいですか、そうですか。……残念」
ATR_b102_062,bgm,「フフーン、わたしの方が高性能ですもんねー」
ATR_b102_063,bgm,「そ、そんな事ないですよっ。今朝、そいつの裏切りによって夏生さんは無様に海に落ちたじゃないですかっ」
ATR_b102_064,bgm,「それに、わたしの方が関節が多いし、自力歩行もできるし……あと、うんと……」
ATR_b102_065,bgm,「……どうすれば夏生さんに、わたしの有用性を認めてもらえるんだろう」
ATR_b102_066,bgm,「はい？」
ATR_b102_067,bgm,「えーっと……うんと……」
ATR_b102_068,bgm,「……。ロストしました」
ATR_b102_069,bgm,「あれ、なんだっけな……えとえと……」
ATR_b102_070,bgm,「ヒトと思考パターンを似せるためのアルゴリズムのせいで、ヒューマノイドは人間同様物忘れをするんですっ」
ATR_b102_071,bgm,「何を忘れて何を覚えているか、自分で選択できませんからっ」
ATR_b102_072,bgm,「夏生さぁん……あのあの……どんな命令でしたっけ？」
ATR_b102_073,bgm,「うー、困りましたぁ」
ATR_b102_074,bgm,「ああっ、それ禁句ですよっ！」
ATR_b102_075,bgm,「ロボットをポンコツと呼ぶ事は差別禁止法に抵触します！３ヶ月以下の懲役かもしくは、えとえと……」
ATR_b102_076,bg,「思い出します。頑張って」
ATR_b102_077,bg,「うー……夏生さぁん」
ATR_b102_078,bg,「……椅子があれば大丈夫です。場所を取らずコンパクトにスリープできるんです。高性能ですから」
ATR_b102_079,bg,「あ、そうだ。夏生さん！」
ATR_b102_080,bg,「夏生さんは、足を取り戻したら、何がしたかったんですか？」
ATR_b102_081,bg,「ほら、わたしは夏生さんの足ですし。聞いておこうと思いまして」
ATR_b102_082,bg,「どどーんとなんなりとお申し付けください！」
ATR_b103_001,ev,「寝ながら叫ぶのはヒトとしてなかなか器用な芸ですね……。もしや、脳機能のエラーでしょうか」
ATR_b103_002,ev,「……夏生さんの脳、修理が必要かも」
ATR_b103_003,ev,「やってみます」
ATR_b103_004,ev,「まずはそのびっしょりの汗を拭きますね。風邪をひくと大変です。ヒトは脆くてすぐ故障しますから」
ATR_b103_005,ev,「泣いてますか？まだ痛いですか？」
ATR_b103_006,ev,「はい、そうですとも！そこにあるそれなんかより、うんと高性能な」
ATR_b103_007,ev,「おや……？」
ATR_b103_008,ev,「あの……夏生さん。汗を拭いてあげたいのですけど」
ATR_b103_009,ev,「もしかしてわたしで拭いてますか？それは足ではなくタオルの役目ですよ」
ATR_b103_010,ev,「……。学習しました」
ATR_b103_011,ev,「いいですよ」
ATR_b103_012,ev,「ふふ……」
ATR_b103_013,ev,「おやすみなさい、夏生さん」
ATR_b103_014,bg,「すやすや…………」
ATR_b103_015,bg,「いやん……夏生さんのエッチぃ……むふふ♪」
ATR_b103_016,bg,「すやすや……にへへ……夏生さぁん……」
ATR_b103_019,bg,「うぅ～ん…………むにゃむにゃ…………夏生さんのアホぉ」
ATR_b103_020,bg,「うへへ……くすぐったいですぅ」
ATR_b103_021,bg,「アトリですぅ……それロボットへの蔑称ですからぁ……警告２回目ですよぉ……お仕置きのロケットパン……ツ……」
ATR_b103_022,bgm,「はわっ……！？」
ATR_b103_023,bgm,「あ、そっか……わたし……昨日の夜、ここで夏生さんに抱かれたんでした……」
ATR_b103_024,bgm,「あ……おはようございますぅ、夏生さん……ふわぁ～」
ATR_b103_025,bgm,「わたし低電圧なんでぇ……むにゃむにゃ」
ATR_b103_026,bgm,「ぅぅ、変な姿勢でスリープしてたから、関節がグキグキします……」
ATR_b103_027,bgm,「ふわぁい」
ATR_b103_028,bgm,「？」
ATR_b103_029,bgm,「でしょう！高性能ですからムフン！」
ATR_b111_001,bg,「シャカシャカシャコシャコ」
ATR_b111_002,bg,「シャカシャカシャコシャコ……オエッ」
ATR_b111_003,bg,「はふひはん（夏生さん）」
ATR_b111_004,bg,「奥の方が自分で上手に磨けません。……やってもらってもいいですか？」
ATR_b111_005,bg,「んあー」
ATR_b111_006,bg,「あーーー」
ATR_b111_007,bg,「がらがらがらがら……ぺっ」
ATR_b111_008,bg,「？　所有するロボットのメンテナンスは、持ち主の役目ですよ？」
ATR_b111_009,bg,「はい。栄養補給できませんから」
ATR_b111_010,bg,「？　その心配には及びませんよ」
ATR_b111_011,bg,「わたしが売却を保留していただきたいのは４５日だけです。その後はどうぞ、納得のプライスで売ってください」
ATR_b111_012,bg,「でないと新しい足を買えませんよ？」
ATR_b111_013,bg,「高性能なわたしにこだわるお気持ちは分かりますが、わたしは足専門ロボットではありません」
ATR_b111_014,bg,「わたしが夏生さんの足でいられるのは、４５日だけです」
ATR_b111_015,bg,「というわけで、カレンダーを用意しましたー」
ATR_b111_016,bg,「名付けて、“アトリと夏生の蜜月カウントダウンカレンダー”」
ATR_b111_017,bg,「１日１つ、×を付けていきます。昨日の分を書いておきましょう……バツ……と」
ATR_b111_018,bg,「残り４４日ですねー」
ATR_b111_019,bg,「？　夏生さん？」
ATR_b111_020,bgm,「ハイ！」
ATR_b111_021,bgm,「ハイ、ハイッ、ハーーイ！」
ATR_b111_022,bgm,「学校へ行きましょう！」
ATR_b111_023,bgm,「理由くらい聞いてくださいよー」
ATR_b111_024,bgm,「わたし、知ってます。学校とは色んな事を学ぶ場所なんでしょう？」
ATR_b111_025,bgm,「いえ、昔……えと……誰かに教わりました」
ATR_b111_026,bgm,「うー……覚えていません」
ATR_b111_027,bgm,「わたし、勉強がしてみたいです！」
ATR_b111_028,bgm,「“学校”って言葉を聞いた時から、なんとなくこう……引っかかっていて」
ATR_b111_029,bgm,「そこにある気がするんです。わたしの失われたメモリーの断片が」
ATR_b111_030,bgm,「でも昔、わたしは学校に行ってみたいと……そう願っていた事があったのかもしれない」
ATR_b111_031,bgm,「ねえ、いいでしょう夏生さん。ねーねーねーねー」
ATR_b111_032,bgm,「また出ました、夏生さんの駄々っ子。駄々っ子ナッちゃん！」
ATR_b111_033,bgm,「ふっふっふ～、聞いて驚いてください。わたしには学習機能があります！」
ATR_b111_034,bgm,「沢山勉強して、立派なロボットになるんです。ヒトから必要とされるような」
ATR_b111_035,bgm,「４５日しかないからですよ。急がないと」
ATR_b111_036,bgm,「夏生さんは、どうして学校行くの嫌なんですか？水菜萌に言われた時も駄々っ子でしたよね」
ATR_b111_037,bgm,「勉強がですか？」
ATR_b111_038,bgm,「じゃあ夏生さんは付いて来てくれるだけでいいです」
ATR_b111_039,bgm,「それはダメです。わたしは夏生さんの足ですから、お側を離れるわけにはいきません」
ATR_b111_040,bgm,「どこ行くんですかー」
ATR_b111_041,bgm,「ええーー」
ATR_b111_042,bgm,「行ってみたいのになぁ……学校……」
ATR_b111_043,bgm,「ここは……どこですか？」
ATR_b111_044,bg,「半分、水に沈んだ建造物……。あのような斬新な建築はわたしのメモリーにありません……」
ATR_b111_045,bgm,「検索中、検索中……あ、もしかしてここ、学校じゃないですか？」
ATR_b111_046,bgm,「ふっふっふ、夏生さん失敗しましたね。間違えて学校に来てしまうなんて」
ATR_b111_047,bgm,「はい、そうするといいです」
ATR_b111_048,bgm,「夏生さん……あいつらは敵対行動に出ようとしてますか。その時はわたしの真の姿を見せねばなりません」
ATR_b111_049,bgm,「夏生さんに手を出すというなら、わたしが相手になります！」
ATR_b111_050,bgm,「ザコ！！？」
ATR_b111_051,bgm,「夏生さんまでひどいっ」
ATR_b111_052,bg,「そ……そうだったんですか！！？」
ATR_b111_053,bg,「……わたしの手からもロケットパンチが出ますよ。ほんとですよ。マシンガンなんかより、うんと強力ですよ……」
ATR_b111_054,bg,「あ、わたしが！」
ATR_b111_055,bg,「ちゃんと学習したから平気です」
ATR_b111_056,bg,「通しません！」
ATR_b111_057,bg,「せっかく学校来たんです！べんきょーするまで帰れません」
ATR_b111_058,bg,「ガッテンです！」
ATR_b111_059,bg,「アトリです。ぺこり」
ATR_b111_060,bg,「ほほう、これが勉強というやつですか。どれどれ」
ATR_b111_061,bg,「ふむふむ……」
ATR_b111_062,bg,「いいじゃないですかー、どうせ使ってないんでしょう？」
ATR_b111_063,bg,「水菜萌せんせー、質問いいですか」
ATR_b111_064,bg,「これなんですが……」
ATR_b111_065,bg,「水菜萌、先生なのに分からないんですか？」
ATR_b111_066,bg,「水菜萌は何年生ですか？」
ATR_b111_067,bg,「ここです」
ATR_b111_068,bg,「なるほどー。ありがとうございます」
ATR_b112_001,bgm,「勉強はもうおしまいですか？」
ATR_b112_002,bgm,「べんきょー楽しかったなー」
ATR_b112_003,bgm,「今日だけでめちゃくちゃ賢くなりましたよわたし。スーパーロボットになる日も近いですね！」
ATR_b112_004,bgm,「でしょう。えへへー」
ATR_b112_005,bgm,「明日も学校行きましょうね」
ATR_b112_006,bgm,「？　なんですか？ジッとわたしを見つめて……」
ATR_b112_007,bgm,「……あっ、もしかしてチュウがしたくなりました？」
ATR_b112_008,bgm,「いけませんよ、ヒューマノイドとのそういった行為は、倫理規定に抵触します」
ATR_b112_009,bgm,「場合によっては没収の対象となりますのでご注意を」
ATR_b112_010,bgm,「やっぱりしたいんですね！？すでに一度許してるとはいえ……」
ATR_b112_011,bgm,「したじゃないですかー、夏生さんが海に落ちた時」
ATR_b112_012,bgm,「唇と唇を触れ合わせる行為をキスと言います。人と人との愛情表現、とりわけ恋人同士でいたします。夏生さんはもう大きいのにものを知りませんね」
ATR_b112_013,bgm,「勉強はできるようですが、そういった社会常識がないと苦労しますよ」
ATR_b112_014,bgm,「ほえ？　もう幾度も経験済みでしたか？」
ATR_b112_015,bgm,「？」
ATR_b112_016,bgm,「ですね！」
ATR_b112_017,bgm,「当たり前じゃないですかー。わたしを何だと思ってます？」
ATR_b112_018,bgm,「ふっふっふっふ。今日の夕飯は任せてくださいですよ」
ATR_b112_019,bgm,「そうはいきません、まだわたしの真価をお見せできてません！」
ATR_b112_020,bgm,「あ、こんばんは水菜萌」
ATR_b112_021,bgm,「人間のようなミスをするのは、ある意味わたしが高性能である証で……」
ATR_b112_022,bg,「ロボットにポンコツと言うのは差別発言です！改めない場合、差別禁止法により罰せられ――」
ATR_b112_023,bg,「はぐあッ！！？」
ATR_b112_024,bg,「あわわわっ、ロボットに対する暴力行為は、それはそれで違反行為で、懲役３年以下のぉぉ～～」
ATR_b112_025,bg,「ち……陳謝しますから、それだけはご勘弁を……」
ATR_b112_026,bgm,「ぐべっ」
ATR_b112_027,bgm,「はわわ……ひどい目に遭いました」
ATR_b112_028,bg,「あたっ」
ATR_b112_029,bgm,「あたた……わたしの頭蓋骨はカーボンファイバー製ですので、この程度へっちゃらです」
ATR_b112_030,bgm,「当たり前じゃないですかー。わたしを何だと思ってます？」
ATR_b112_031,bgm,「ふっふっふっふ。今日の夕飯は任せてくださいですよ」
ATR_b112_032,bg,「はううっ！！？」
ATR_b112_033,bg,「……面目次第もございません。サムライなら切腹ものですよね」
ATR_b112_034,bg,「今から話す事は他言無用でお願いしますね。漏らせばお二人の命の危険ですから」
ATR_b112_035,bg,「……実はわたし、某国が秘密裏に製造した戦闘ロボットなんです」
ATR_b112_036,bg,「破壊工作を行うためにこの国へ来ました……。ですが任務を果たす前に戦争が終結し、わたしは母国と存在意義そのものを失いました」
ATR_b112_037,bg,「ひとりぼっちになったわたしを拾って下さったのがマスターでした」
ATR_b112_038,bg,「マスターはわたしに名を与え、新しい役割を与えてくれました。それが家事手伝いだったんです」
ATR_b112_039,bg,「ですが戦闘ロボのわたしにはパワーの制御が難しく家事はこの通り。マスターにもよく叱られました……」
ATR_b112_040,bg,「高性能ですから！エッヘン！」
ATR_b112_041,bg,「…………あ」
ATR_b112_042,bg,「……あ、あまりにも家事が苦手すぎて、“実はわたし戦闘ロボなんだ”と思っていないとやりきれないと言いますかなんと言いますか」
ATR_b112_043,bg,「うっすらと覚えているんです……昔、マスターにもよく叱られたなって……」
ATR_b112_044,bg,「でもあながち嘘とも言い切れません！」
ATR_b112_045,bg,「１：わたしはロボットである２：わたしは家事ができない」
ATR_b112_046,bg,「この２つの普遍的事実から演繹的に導き出した論理的帰結なので」
ATR_b112_047,bg,「はぅぅ……ごめんなさいです猛省します。だから海に帰すのだけはよしてくださいです……」
ATR_b112_048,bgm,「食料を外部から持参する女……検索中検索中……」
ATR_b112_049,bgm,「出ました、“通い妻”」
ATR_b112_050,bgm,「そして、法的な婚姻関係になく家にいるわたしは、“内縁の妻”」
ATR_b112_051,bgm,「ちがいましたか。……学習しました」
ATR_b112_052,bgm,「ではいただきます」
ATR_b112_053,bgm,「……もぐもぐ……デリシャス」
ATR_b112_054,bgm,「家事ロボットの機能として、食事をする事も可能なのです」
ATR_b112_055,bgm,「食べなくても全然平気です。だからこれは、ただ食べるだけです」
ATR_b112_056,bgm,「……食事時にする話題ではないかと」
ATR_b112_057,bg,「たしかに……もぐもぐ……なかなかの腕前です」
ATR_b112_058,bg,「わかります。味見できるよう味覚センサーも搭載です。高性能ですから！」
ATR_b112_059,bgm,「もぐもぐ……水菜萌、もしやおバカさんですか？」
ATR_b112_060,bgm,「わたしの高性能ＡＩが分析したところ、夏生さんは話題を逸らしています」
ATR_b112_061,bg,「もぐもぐ……」
ATR_b112_062,bg,「よかったですね、水菜萌」
ATR_b112_063,bg,「よしよし」
ATR_b112_064,bg,「？　お話に夢中だったので、てっきりもうお腹いっぱいなんだと」
ATR_b112_065,bg,「意味はあります。美味しい＝喜びですから」
ATR_b112_066,bg,「明日にはきっと改善されます。わたしには学習機能が備わっていますので。なにせ高性能ですから！」
ATR_b112_067,bg,「あ、また！これで警告４度目ですっ」
ATR_b112_068,bg,「４つ溜まるとパンチしていいんですよ。ロボット愛護法第２条第５項、ロボット差別を繰り返す者には鉄拳制裁してもよい」
ATR_b112_069,bg,「できますー。わたし、戦闘ロボなので」
ATR_b112_070,bg,「……わたしが本気を出すと殺傷してしまう怖れがあるのでやめておきます」
ATR_b112_071,bg,「命拾いしましたね夏生さん」
ATR_b112_072,bgm,「よく分かりませんが、ヒトに尽くすのがロボットの喜び。夏生さんのためになれているなら幸せです」
ATR_b112_073,bg,「まかされました。大船に乗った気分でどうぞ」
ATR_b112_074,bgm,「どうされました、夏生さん？」
ATR_b112_075,bgm,「むむ……わたしの高感度センサー付きロボットアイには、何も映っていません」
ATR_b112_076,bgm,「え……」
ATR_b112_077,bgm,「わ、わかりました……夏生さんがお望みでしたら、わたしも覚悟を決めますね」
ATR_b112_078,bgm,「そういう下着がお好みなのですね……学習しました」
ATR_b112_079,bgm,「とりあえずはいてみようと思います」
ATR_b112_080,bgm,「どうでしょう」
ATR_b112_081,bgm,「明日、学校でお礼を言わないとですね」
ATR_b112_082,bgm,「夏生さん、今日はどうやって寝ますか？」
ATR_b112_083,bgm,「今夜も、“足”の役目を果たしましょうか？」
ATR_b112_084,bgm,「そうですか……」
ATR_b112_085,bgm,「すぐ傍に控えていますから、もし必要になったら一声かけてくださいね」
ATR_b113_001,bg2,「すぴー……すぴー……」
ATR_b113_002,bg,「あ……夏生さん、おはようございますぅ。昨晩も激しかったですね」
ATR_b113_003,bg,「だって、強引にわたしをベッドに引っ張り込んで、あんなに激しく抱きしめたじゃないですかぁ……」
ATR_b113_004,bg,「どうして落ち込んでいるんですか？」
ATR_b113_005,bg,「やったー学校だー」
ATR_b113_006,ev,「じー……」
ATR_b113_007,ev,「そんな足の代わりにしかならない低機能なものを、まだ使う気なんですね」
ATR_b113_008,ev,「……」
ATR_b113_009,ev,「いえ……ボロボロになるまで使い込まれてて、ちょっと羨ましいだけです」
ATR_b113_010,ev,「じー……」
ATR_b113_011,bgm,「……棒と関節を組み合わせただけの物に負けるのは、ロボットの沽券に関わります」
ATR_b113_012,bgm,「わたしの方が高性能な事を示さねば……夏生さん、わたしも何かお手伝いします！」
ATR_b113_013,bgm,「じゃあ朝ご飯を用意します」
ATR_b113_014,bgm,「嫌われたものですね……。これも戦闘ロボの宿命」
ATR_b113_015,bgm,「ポンコツのそしり、甘んじて受けましょう。そうですわたしは戦う事しか能の無いポンコツです」
ATR_b113_016,bgm,「やる事がないので、カレンダーに印付けておきますね」
ATR_b113_017,bg,「残り４３日……」
ATR_b113_018,bgm,「……勉強できるのが嬉しくて、すっかり忘れていました」
ATR_b113_019,bgm,「そうはいきませんよ。わたしを売らないと夏生さんは借金が返せません」
ATR_b113_020,bgm,「夏生さん」
ATR_b113_021,bgm,「はいそれセクハラです！ロボット愛護法によって、罰金です。借金が増えちゃいました」
ATR_b113_022,bgm,「紙と書く物をお借りしてもいいですか？ログを付けたいのです」
ATR_b113_023,bgm,「わーい、ありがとうございます」
ATR_b113_024,bgm,「わぁ、沢山あります。どれがいいかなぁ……」
ATR_b113_025,bgm,「うーむ……」
ATR_b113_026,bgm,「むむー……」
ATR_b113_027,bg,「あのぉ、夏生さーん、どうなさったんですかー」
ATR_b113_028,bg,「……もしかしてわたし、お邪魔ですかね」
ATR_b113_029,bg,「ロケットパーーーーーーーーーーーーーーンチ！！！！」
ATR_b113_030,bgm,「フンス！」
ATR_b113_031,bgm,「だいじょうぶですか夏生さん」
ATR_b113_032,bgm,「血が出ています、手当しないとっ」
ATR_b113_033,bgm,「わたしの必殺技の威力はどうですか？これでも手加減した方ですよ！」
ATR_b113_034,bgm,「本気を出せばこうです」
ATR_b113_035,bgm,「ふぬぬぬ～～……」
ATR_b113_036,bgm,「フンスフンス！　夏生さんを害する存在は追い払いました。エラかったですか？　褒めてください♪」
ATR_b113_037,bgm,「えへへ～、ちゃーんと役に立つでしょう？」
ATR_b113_038,bgm,「？」
ATR_b113_039,bgm,「えへへ、夏生さんに褒められた～～。あ、これは喜んでいい事ですよね？」
ATR_b113_040,bgm,「そうだ、手当しないと！」
ATR_b113_041,bgm,「うんと……うんと……」
ATR_b113_042,bgm,「あっ、薬局です！」
ATR_b113_043,bgm,「む！　夏生さんの敵ですか！」
ATR_b113_044,bgm,「のぞむところです」
ATR_b113_045,bgm,「？　わかりましたやめます。命拾いしましたね子供」
ATR_b113_046,bgm,「おはようございます、水菜萌」
ATR_b113_047,bgm,「昨日は素敵なパンツをありがとうございました。夏生さんもお気に入りのようでした」
ATR_b113_048,bgm,「この宇宙に永遠に続くものなんてありません。だから終わる事を嘆いても意味なんてありません」
ATR_b113_049,bgm,「終わりまでの間を、どのように過ごすかが大事なんじゃないか……と思います」
ATR_b113_050,bgm,「ですから、早く授業をやりましょう。わたし、勉強がしたいです」
ATR_b113_051,bgm,「わたしたちも行きましょうっ、負けてはいられませんロボットの沽券がっ」
ATR_b113_052,bgm,「あ、お魚」
ATR_b113_053,bgm,「むむ……水菜萌、赤くなっています。もしかして」
ATR_b113_054,bgm,「熱がありますか？」
ATR_b113_055,bgm,「ぷふっ、しょせんは子供の浅知恵。わたしよりおチビさんですし」
ATR_b113_056,bgm,「ラジャーです」
ATR_b113_057,bg,「ふっふっふ、驚いていますねおチビたち。その目に焼き付けておくといいです、わたしの高性能さを！」
ATR_b114_001,bgm,「あっ、わかりました！」
ATR_b114_002,bgm,「これ、今日の授業で習ったヤツですね！」
ATR_b114_003,bgm,「これで船の電気を作ってるんだ」
ATR_b114_004,bgm,「今日、明かりが灯った一瞬、みなさん笑顔でした」
ATR_b114_005,bgm,「笑顔は喜びの証拠。みなさん喜んでいたんですよね？」
ATR_b114_006,bgm,「いい事しましたね、夏生さん」
ATR_b114_007,bgm,「？　一瞬でも喜びを与えたのなら、それは“いい事”じゃないんですか？」
ATR_b114_008,bgm,「ああああッ！！！？？」
ATR_b114_009,bgm,「…………靴が……ありません」
ATR_b114_010,bgm,「えっと……えっと……ああ、そうだ。学校に忘れてきちゃったんだ」
ATR_b114_011,bgm,「あのあの……夏生さん。取りに行ってもいいですか……？」
ATR_b114_012,bgm,「でも、あの靴は夏生さんが買ってくださったもので、もしなくしちゃったら……」
ATR_b114_013,bgm,「ありがとうございます、夏生さん！」
ATR_b114_014,bgm,「任せてください、わたしのロボットアイを、高感度モードに切り替えます」
ATR_b114_015,bgm,「？　いますよ、ここに」
ATR_b114_016,bgm,「大丈夫ですよ、わたしが手を引いてあげますから」
ATR_b114_017,bgm,「……夏生さんがとっても素直です。ふふ、可愛い……」
ATR_b114_018,bgm,「こっちですよ～、あ、足下気をつけ……」
ATR_b114_019,bgm,「おっとと、だいじょぶですか夏生さんっ」
ATR_b114_020,bgm,「おおっ、失敗したのにつっこみが優しい！」
ATR_b114_021,bgm,「はううっ、夏生さんがわたしを頼っている！どどーーーんと任せてください！」
ATR_b114_022,bgm,「……見当たりません。おかしいなぁ……」
ATR_b114_023,bgm,「うんと……あっ、屋上かもしれません！」
ATR_b114_024,bgm,「夏生さん、待ってください」
ATR_b114_025,bgm,「誰かいます」
ATR_b114_026,bgm,「ここで待っててください……」
ATR_b114_027,bg,「おりゃーー」
ATR_b114_028,bg,「捕まえましたよ！観念しなさーい！」
ATR_b114_029,bg,「あたっ、いてっ、おとなしく……ふがっ！」
ATR_b114_030,bgm,「夏生さんみたいですね」
ATR_b114_031,bgm,「夏生さんは、トイレは大丈夫ですけど、寝る時はわたしがいないとダメじゃないですか」
ATR_b114_032,bgm,「美味しそうです……じゅる」
ATR_b114_033,bgm,「いいんですか！」
ATR_b114_034,bgm,「ちぇっ……夏生さんはロボット迫害主義者です」
ATR_b114_035,bgm,「はいです♪」
ATR_b114_036,bgm,「？　驚いていましたよ」
ATR_b114_037,bgm,「いえ、最初来た時です。夏生さんたちが屋上でお話してるのを見て、すっごくびっくりしてました」
ATR_b114_038,bgm,「夏生さんと凜々花が本の話をしてた辺りからです。わたしの高感度センサー付きロボットアイが、全てお見通しでした」
ATR_b114_039,bgm,「はいです」
ATR_b114_040,bg,「さようならー」
ATR_b114_041,bgm,「夏生さーん」
ATR_b114_042,bgm,「ねえ～、夏生さんってばー」
ATR_b114_043,bgm,「まだ寝ないんですか？」
ATR_b114_044,bgm,「ご飯もまだですよ。……帰ったら食べさせてくれるって言ってたのに」
ATR_b114_045,bgm,「って言いながら、シームレスに作業再開！？」
ATR_b114_046,bgm,「そんな真剣な顔で、いったい何をして……」
ATR_b114_047,bgm,「あ、電気が消えました」
ATR_b114_048,bgm,「……という事は、夏生さんが甘えんぼナッちゃんになる日ですね！バッチコーイ、ですよ！」
ATR_b114_049,bgm,「わかってますとも。わたしを抱っこして寝たいんですよね。しょうがない夏生さんですねぇ～」
ATR_b114_050,bgm,「手でですかっ！？」
ATR_b114_051,bgm,「わ、わかりました。……手、届くかな」
ATR_b114_052,bgm,「あ、ついた」
